id,timestamp,season,holiday,workingday,humidity,windspeed,demand,temp_category,Weather_Code
1,01/01/2017 00:00,spring,No,No,81,0,2.772588722,Mild,1
2,01/01/2017 01:00,spring,No,No,80,0,3.688879454,Mild,1
3,01/01/2017 02:00,spring,No,No,80,0,3.465735903,Mild,1
4,01/01/2017 03:00,spring,No,No,75,0,2.564949357,Mild,1
5,01/01/2017 04:00,spring,No,No,75,0,0,Mild,1
6,01/01/2017 05:00,spring,No,No,75,6.0032,0,Mild,2
7,01/01/2017 06:00,spring,No,No,80,0,0.693147181,Mild,1
8,01/01/2017 07:00,spring,No,No,86,0,1.098612289,Mild,1
9,01/01/2017 08:00,spring,No,No,75,0,2.079441542,Mild,1
10,01/01/2017 09:00,spring,No,No,76,0,2.63905733,Mild,1
11,01/01/2017 10:00,spring,No,No,76,16.9979,3.583518938,Mild,1
12,01/01/2017 11:00,spring,No,No,81,19.0012,4.025351691,Mild,1
13,01/01/2017 12:00,spring,No,No,77,19.0012,4.430816799,Mild,1
14,01/01/2017 13:00,spring,No,No,72,19.9995,4.543294782,Mild,2
15,01/01/2017 14:00,spring,No,No,72,19.0012,4.663439094,Mild,2
16,01/01/2017 15:00,spring,No,No,77,19.9995,4.700480366,Mild,2
17,01/01/2017 16:00,spring,No,No,82,19.9995,4.532599493,Mild,2
18,01/01/2017 17:00,spring,No,No,82,19.0012,4.204692619,Mild,2
19,01/01/2017 18:00,spring,No,No,88,16.9979,3.555348061,Mild,3
20,01/01/2017 19:00,spring,No,No,88,16.9979,3.610917913,Mild,3
21,01/01/2017 20:00,spring,No,No,87,16.9979,3.583518938,Mild,2
22,01/01/2017 21:00,spring,No,No,87,12.998,3.526360525,Mild,2
23,01/01/2017 22:00,spring,No,No,94,15.0013,3.33220451,Mild,2
24,01/01/2017 23:00,spring,No,No,88,19.9995,3.663561646,Mild,2
25,02/01/2017 00:00,spring,No,No,88,19.9995,2.833213344,Mild,2
26,02/01/2017 01:00,spring,No,No,94,16.9979,2.833213344,Mild,2
27,02/01/2017 02:00,spring,No,No,100,19.0012,2.197224577,Mild,2
28,02/01/2017 03:00,spring,No,No,94,12.998,1.791759469,Mild,2
29,02/01/2017 04:00,spring,No,No,94,12.998,1.098612289,Mild,2
30,02/01/2017 06:00,spring,No,No,77,19.9995,0.693147181,Mild,3
31,02/01/2017 07:00,spring,No,No,76,12.998,0,Mild,2
32,02/01/2017 08:00,spring,No,No,71,15.0013,2.079441542,Mild,3
33,02/01/2017 09:00,spring,No,No,76,15.0013,2.995732274,Mild,2
34,02/01/2017 10:00,spring,No,No,81,15.0013,3.970291914,Mild,2
35,02/01/2017 11:00,spring,No,No,71,16.9979,4.248495242,Mild,2
36,02/01/2017 12:00,spring,No,No,66,19.9995,4.532599493,,2
37,02/01/2017 13:00,spring,No,No,66,8.9981,4.317488114,Mild,2
38,02/01/2017 14:00,spring,No,No,76,12.998,4.077537444,Mild,3
39,02/01/2017 15:00,spring,No,No,81,11.0014,4.304065093,Mild,3
40,02/01/2017 16:00,spring,No,No,71,11.0014,4.33073334,Mild,3
41,02/01/2017 17:00,spring,No,No,57,12.998,4.17438727,Mild,1
42,02/01/2017 18:00,spring,No,No,46,22.0028,3.970291914,Mild,2
43,02/01/2017 19:00,spring,No,No,42,30.0026,3.401197382,Mild,1
44,02/01/2017 20:00,spring,No,No,39,23.9994,3.091042453,Mild,1
45,02/01/2017 21:00,spring,No,No,44,22.0028,3.433987204,Mild,1
46,02/01/2017 22:00,spring,No,No,44,19.9995,2.197224577,Mild,1
47,02/01/2017 23:00,spring,No,No,47,11.0014,2.079441542,Mild,1
48,03/01/2017 00:00,spring,No,Yes,44,23.9994,1.609437912,Cold,1
49,03/01/2017 01:00,spring,No,Yes,44,27.9993,0.693147181,Cold,1
50,03/01/2017 04:00,spring,No,Yes,47,26.0027,0,Cold,1
51,03/01/2017 05:00,spring,No,Yes,47,19.0012,1.098612289,Cold,1
52,03/01/2017 06:00,spring,No,Yes,50,26.0027,3.401197382,Cold,1
53,03/01/2017 07:00,spring,No,Yes,,12.998,4.158883083,Cold,1
54,03/01/2017 08:00,spring,No,Yes,50,19.0012,5.036952602,Cold,1
55,03/01/2017 09:00,spring,No,Yes,43,26.0027,4.477336814,Cold,1
56,03/01/2017 10:00,spring,No,Yes,43,16.9979,3.784189634,Cold,1
57,03/01/2017 11:00,spring,No,Yes,40,22.0028,3.931825633,Cold,1
58,03/01/2017 12:00,spring,No,Yes,35,19.9995,4.110873864,Mild,1
59,03/01/2017 13:00,spring,No,Yes,35,19.0012,4.110873864,Mild,1
60,03/01/2017 14:00,spring,No,Yes,30,19.0012,4.343805422,Mild,1
61,03/01/2017 15:00,spring,No,Yes,30,16.9979,4.276666119,Mild,1
62,03/01/2017 16:00,spring,No,Yes,30,16.9979,4.33073334,Mild,1
63,03/01/2017 17:00,spring,No,Yes,30,15.0013,5.056245805,Mild,1
64,03/01/2017 18:00,spring,No,Yes,32,7.0015,5.056245805,Mild,1
65,03/01/2017 19:00,spring,No,Yes,47,0,4.700480366,Mild,1
66,03/01/2017 20:00,spring,No,Yes,47,7.0015,3.951243719,Mild,1
67,03/01/2017 21:00,spring,No,Yes,64,8.9981,3.951243719,Cold,1
68,03/01/2017 22:00,spring,No,Yes,69,8.9981,2.995732274,Cold,1
69,03/01/2017 23:00,spring,No,Yes,55,7.0015,2.48490665,Mild,1
70,04/01/2017 00:00,spring,No,Yes,55,7.0015,1.609437912,Cold,1
71,04/01/2017 01:00,spring,No,Yes,59,7.0015,0.693147181,Cold,1
72,04/01/2017 02:00,spring,No,Yes,63,8.9981,0,Cold,1
73,04/01/2017 04:00,spring,No,Yes,63,6.0032,0.693147181,Cold,1
74,04/01/2017 05:00,spring,No,Yes,68,7.0015,1.386294361,Cold,1
75,04/01/2017 06:00,spring,No,Yes,74,7.0015,3.583518938,Cold,1
76,04/01/2017 07:00,spring,No,Yes,74,8.9981,4.543294782,Cold,1
77,04/01/2017 08:00,spring,No,Yes,69,11.0014,5.187385806,Cold,1
78,04/01/2017 09:00,spring,No,Yes,64,,4.605170186,Cold,1
79,04/01/2017 10:00,spring,No,Yes,69,22.0028,3.737669618,Cold,2
80,04/01/2017 11:00,spring,No,Yes,51,19.9995,4.043051268,Mild,1
81,04/01/2017 12:00,spring,No,Yes,51,11.0014,4.356708827,Mild,1
82,04/01/2017 13:00,spring,No,Yes,56,12.998,4.574710979,Mild,1
83,04/01/2017 14:00,spring,No,Yes,52,15.0013,4.143134726,Mild,1
84,04/01/2017 15:00,spring,No,Yes,52,16.9979,4.17438727,Mild,1
85,04/01/2017 16:00,spring,No,Yes,49,16.9979,4.418840608,Mild,1
86,04/01/2017 17:00,spring,No,Yes,48,15.0013,5.356586275,Mild,1
87,04/01/2017 18:00,spring,No,Yes,48,12.998,5.204006687,Mild,1
88,04/01/2017 19:00,spring,No,Yes,48,7.0015,4.718498871,Mild,1
89,04/01/2017 20:00,spring,No,Yes,48,7.0015,3.988984047,Mild,1
90,04/01/2017 21:00,spring,No,Yes,64,0,3.871201011,Mild,1
91,04/01/2017 22:00,spring,No,Yes,64,6.0032,3.555348061,Mild,1
92,04/01/2017 23:00,spring,No,Yes,69,6.0032,2.397895273,Mild,1
93,05/01/2017 00:00,spring,No,Yes,64,0,1.791759469,Mild,1
94,05/01/2017 01:00,spring,No,Yes,74,6.0032,1.791759469,Cold,1
95,05/01/2017 02:00,spring,No,Yes,74,6.0032,0.693147181,Cold,1
96,05/01/2017 04:00,spring,No,Yes,48,15.0013,0.693147181,Mild,1
97,05/01/2017 05:00,spring,No,Yes,47,11.0014,1.098612289,Mild,1
98,05/01/2017 06:00,spring,No,Yes,47,15.0013,3.496507561,Cold,1
99,05/01/2017 07:00,spring,No,Yes,43,12.998,4.477336814,Cold,1
100,05/01/2017 08:00,spring,No,Yes,40,19.9995,5.272999559,Cold,1
101,05/01/2017 09:00,spring,No,Yes,37,22.0028,4.744932128,Cold,1
102,05/01/2017 10:00,spring,No,Yes,37,22.0028,4.043051268,Cold,1
